System_Voltage_Configuration,MCOV,Max_Surge_Current_Rating,VP_Line_to_Line,VP_Line_to_Neutral,VP_Line_to_Ground,VP_Neutral_to_Ground,Enclosure_Protection_Level,SPD_Name_Product_Number,SPD_Type,Description,Product_Link,Data_Sheet
277/480V 3 Phase Delta,600 Vac,320kA,3000V,N/A,1800V,N/A,NEMA 12/4,ADSi-160-480D,1,,https://shopalltec.com/adsi-160/?searchid=6545&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-160%20Datasheet.pdf
277/480V 3 Phase Delta,600 Vac,480kA,3000V,N/A,1800V,N/A,NEMA 12/4,ADSi-240-480D,1,,https://shopalltec.com/adsi-240/?searchid=6546&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-240%20Datasheet.pdf
347/600V 3 Phase Wye,600 Vac,160kA,3000V,1800V,1800V,1800V,NEMA 12/4,ADSi-080-600W,1,,https://shopalltec.com/adsi-080/?searchid=6544&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-080%20Datasheet.pdf
347/600V 3 Phase Wye,600 Vac,320kA,3000V,1800V,1800V,1800V,NEMA 12/4,ADSi-160-600W,1,,https://shopalltec.com/adsi-160/?searchid=6545&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-160%20Datasheet.pdf
347/600V 3 Phase Wye,600 Vac,480kA,3000V,1800V,1800V,1800V,NEMA 12/4,ADSi-240-600W,1,,https://shopalltec.com/adsi-240/?searchid=6546&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-240%20Datasheet.pdf
600V 3 Phase Delta,680 Vac,160kA,3400V,N/A,2100V,N/A,NEMA 12/4,ADSi-080-600D,1,,https://shopalltec.com/adsi-080/?searchid=6544&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-080%20Datasheet.pdf
600V 3 Phase Delta,680 Vac,320kA,3400V,N/A,2100V,N/A,NEMA 12/4,ADSi-160-600D,1,,https://shopalltec.com/adsi-160/?searchid=6545&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-160%20Datasheet.pdf
600V 3 Phase Delta,680 Vac,480kA,3400V,N/A,2100V,N/A,NEMA 12/4,ADSi-240-600D,1,,https://shopalltec.com/adsi-240/?searchid=6546&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-240%20Datasheet.pdf
120/240V Split Phase,150 Vac,160kA,1000V,700V,700V,700V,NEMA 12/4,ADSi-080-120T,2,,https://shopalltec.com/adsi-080/?searchid=6544&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-080%20Datasheet.pdf
120/240V Split Phase,150 Vac,320kA,1000V,700V,700V,700V,NEMA 12/4,ADSi-160-120T,2,,https://shopalltec.com/adsi-160/?searchid=6545&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-160%20Datasheet.pdf
120/240V Split Phase,150 Vac,480kA,1000V,700V,700V,700V,NEMA 12/4,ADSi-240-120T,2,,https://shopalltec.com/adsi-240/?searchid=6546&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-240%20Datasheet.pdf
120/208V 3 Phase Wye,150 Vac,160kA,1000V,700V,700V,700V,NEMA 12/4,ADSi-080-120W,2,,https://shopalltec.com/adsi-080/?searchid=6544&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-080%20Datasheet.pdf
120/208V 3 Phase Wye,150 Vac,320kA,1000V,700V,700V,700V,NEMA 12/4,ADSi-160-120W,2,,https://shopalltec.com/adsi-160/?searchid=6545&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-160%20Datasheet.pdf
120/208V 3 Phase Wye,150 Vac,480kA,1000V,700V,700V,700V,NEMA 12/4,ADSi-240-120W,2,,https://shopalltec.com/adsi-240/?searchid=6546&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-240%20Datasheet.pdf
127/220V 3 Phase Wye,150 Vac,160kA,1000V,700V,700V,700V,NEMA 12/4,ADSi-080-127W,2,,https://shopalltec.com/adsi-080/?searchid=6544&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-080%20Datasheet.pdf
127/220V 3 Phase Wye,150 Vac,320kA,1000V,700V,700V,700V,NEMA 12/4,ADSi-160-127W,2,,https://shopalltec.com/adsi-160/?searchid=6545&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-160%20Datasheet.pdf
